,rating,comment,date,word_count,text_length_category,rating_length_category
128,10,신라면 가족,2025-01-11,2,middle,10-middle
129,10,라면 신라면,2025-01-10,2,middle,10-middle
130,10,라면 신라면 유통기한,2025-01-10,3,middle,10-middle
131,10,라면 신라면,2025-01-10,2,middle,10-middle
134,10,이마트 편리,2025-01-10,2,middle,10-middle
135,10,구매 상품,2025-01-10,2,middle,10-middle
136,10,라면 신라면,2025-01-10,2,middle,10-middle
137,10,라면,2025-01-10,1,short,10-short
138,10,신라면,2025-01-09,1,short,10-short
139,10,라면 신라면,2025-01-09,2,middle,10-middle
140,10,신라면 면발 국물 맛,2025-01-09,4,middle,10-middle
141,10,감사,2025-01-09,1,short,10-short
142,10,최애,2025-01-09,1,short,10-short
143,10,이마트 상품 만족,2025-01-09,3,middle,10-middle
144,10,집 배달 편리 감사,2025-01-09,4,middle,10-middle
145,10,주문 가격 수,2025-01-09,3,middle,10-middle
146,10,기본 라면,2025-01-09,2,middle,10-middle
147,10,집 앞,2025-01-09,2,middle,10-middle
149,10,라면 중 신라면 거,2025-01-09,4,middle,10-middle
150,10,라면 신라면,2025-01-09,2,middle,10-middle
151,10,때 것 요즘 것 좋규먼유,2025-01-08,5,long,10-long
153,10,애용 라면,2025-01-08,2,middle,10-middle
154,10,배달,2025-01-08,1,short,10-short
155,10,한동안 신라면 맛 시작,2025-01-08,4,middle,10-middle
156,10,라면,2025-01-08,1,short,10-short
157,10,남편 신라면,2025-01-07,2,middle,10-middle
158,10,최고 맛,2025-01-07,2,middle,10-middle
159,10,신라면 비상식량,2025-01-07,2,middle,10-middle
160,10,신라면 전 예비 구매,2025-01-07,4,middle,10-middle
161,10,구매 제품 구매,2025-01-07,3,middle,10-middle
163,10,농심 신라면 말 필요,2025-01-07,4,middle,10-middle
164,10,세일 때 구매,2025-01-07,3,middle,10-middle
166,10,배달 친절 오랜만,2025-01-06,3,middle,10-middle
167,10,신라면,2025-01-06,1,short,10-short
168,10,감사,2025-01-06,1,short,10-short
169,10,구매,2025-01-06,1,short,10-short
170,10,라면 때 신라면,2025-01-06,3,middle,10-middle
171,10,신라면 행사,2025-01-06,2,middle,10-middle
172,10,예전 맛 구매,2025-01-06,3,middle,10-middle
173,10,신라면,2025-01-06,1,short,10-short
174,10,라면 신라면,2025-01-05,2,middle,10-middle
175,10,야외 라면 겨울 꼬듦고,2025-01-05,4,middle,10-middle
176,10,입맛 생필품,2025-01-05,2,middle,10-middle
177,10,것 때 라면 신라면,2025-01-05,4,middle,10-middle
178,10,구매 제품,2025-01-04,2,middle,10-middle
179,10,만족 이번,2025-01-04,2,middle,10-middle
181,10,국물,2025-01-04,1,short,10-short
183,10,최애 라면 어른,2025-01-04,3,middle,10-middle
184,10,최고 상품,2025-01-04,2,middle,10-middle
185,10,라면,2025-01-04,1,short,10-short
188,10,필수 할인 수,2025-01-04,3,middle,10-middle
189,10,신라면 말,2025-01-03,2,middle,10-middle
191,10,신라면,2025-01-03,1,short,10-short
192,10,라면 신 농심,2025-01-03,3,middle,10-middle
193,10,굿 굿 라면 굿,2025-01-03,4,middle,10-middle
194,10,라면,2025-01-03,1,short,10-short
195,10,신라면 감사,2025-01-03,2,middle,10-middle
196,10,편안 이용,2025-01-03,2,middle,10-middle
197,10,구매 제품,2025-01-03,2,middle,10-middle
198,10,가격,2025-01-02,1,short,10-short
200,10,제품 구매,2025-01-02,2,middle,10-middle
201,10,라면 신라면 제품,2025-01-02,3,middle,10-middle
202,10,라면 신라면,2025-01-02,2,middle,10-middle
203,10,신라면 진리 맛 애운 맛,2025-01-02,5,long,10-long
204,10,라면 맛 구입 신라면 것,2025-01-02,5,long,10-long
206,10,포장 유통기한,2025-01-02,2,middle,10-middle
207,10,감사,2025-01-02,1,short,10-short
208,10,가족 최애 라면,2025-01-01,3,middle,10-middle
209,10,다다익선 할인,2025-01-01,2,middle,10-middle
210,10,구매,2025-01-01,1,short,10-short
211,10,농심 신라면,2025-01-01,2,middle,10-middle
212,10,라면 신,2025-01-01,2,middle,10-middle
213,10,구매 제품,2025-01-01,2,middle,10-middle
214,10,라면 신라면 굳굳,2025-01-01,3,middle,10-middle
216,10,신라면,2025-01-01,1,short,10-short
218,10,신라면,2025-01-01,1,short,10-short
219,10,라면 신라면 듯,2025-01-01,3,middle,10-middle
220,10,신라면,2025-01-01,1,short,10-short
223,10,제품 신라면 할인,2024-12-27,3,middle,10-middle
227,10,감사 감사 감사,2024-12-17,3,middle,10-middle
231,10,감사 감사 감사,2024-11-26,3,middle,10-middle
239,10,감사 감사 감사,2024-10-21,3,middle,10-middle
242,10,할인 기간 평소 구입,2024-10-06,4,middle,10-middle
243,10,라면 거,2024-09-30,2,middle,10-middle
249,10,신라면 템,2024-08-10,2,middle,10-middle
250,10,유통 기한,2024-08-08,2,middle,10-middle
251,10,감사,2024-08-04,1,short,10-short
252,10,구입 라면 거 말,2024-07-19,4,middle,10-middle
255,10,이용 제품,2024-03-04,2,middle,10-middle
256,10,신라면,2024-02-05,1,short,10-short
258,10,거 신라면 생각 신라면,2025-01-16,4,middle,10-middle
259,10,상품 마음 수고 감사,2025-01-16,4,middle,10-middle
260,10,맛 남편 최애,2025-01-16,3,middle,10-middle
282,10,가격 굿 굿,2024-12-31,3,middle,10-middle
283,10,라면 중 신라면 최고,2024-12-31,4,middle,10-middle
284,10,감사,2024-12-31,1,short,10-short
285,10,신라면,2024-12-31,1,short,10-short
286,10,라면,2024-12-31,1,short,10-short
287,10,상품 감사,2024-12-30,2,middle,10-middle
288,10,구매 만족,2024-12-30,2,middle,10-middle
289,10,요즘 남편 싡 라면,2024-12-30,4,middle,10-middle
290,10,개 이상 할인 구매,2024-12-30,4,middle,10-middle
292,10,구매 라면 열라면 최고,2024-12-30,4,middle,10-middle
293,10,라면 신라면 진리,2024-12-30,3,middle,10-middle
294,10,감사,2024-12-30,1,short,10-short
295,10,봉 이상 할인,2024-12-29,3,middle,10-middle
296,10,라면 가격 맛,2024-12-29,3,middle,10-middle
299,10,신라면 구매,2024-12-29,2,middle,10-middle
301,10,신라면 애용,2024-12-29,2,middle,10-middle
302,10,주문 제품 신라면,2024-12-28,3,middle,10-middle
304,10,라면,2024-12-28,1,short,10-short
305,10,맛잇어요굿,2024-12-28,1,short,10-short
308,10,신라면 구입,2024-12-28,2,middle,10-middle
310,10,라면 신라면 때 집 똭,2024-12-28,5,long,10-long
311,10,집,2024-12-28,1,short,10-short
313,10,라면 진리 신라면 감사,2024-12-27,4,middle,10-middle
314,10,복수 구입 구입,2024-12-27,3,middle,10-middle
315,10,할인,2024-12-27,1,short,10-short
316,10,할인 구매,2024-12-27,2,middle,10-middle
317,10,신라면 주문,2024-12-27,2,middle,10-middle
321,10,신라면 행사,2024-12-27,2,middle,10-middle
322,10,신라면 최고,2024-12-27,2,middle,10-middle
323,10,신라면 진리,2024-12-27,2,middle,10-middle
324,10,라면 중 최고,2024-12-27,3,middle,10-middle
326,10,신라면,2024-12-26,1,short,10-short
327,10,라면 신라면,2024-12-26,2,middle,10-middle
329,10,양 맛 가격,2024-12-26,3,middle,10-middle
330,10,구매 최애 상품,2024-12-26,3,middle,10-middle
331,10,집 최애 라면,2024-12-26,3,middle,10-middle
332,10,라면 신라면,2024-12-26,2,middle,10-middle
333,10,정확 감사,2024-12-25,2,middle,10-middle
335,10,구매,2024-12-25,1,short,10-short
336,10,라면,2024-12-24,1,short,10-short
337,10,집 라면 남편,2024-12-24,3,middle,10-middle
338,10,구매 신라면,2024-12-24,2,middle,10-middle
339,10,구매,2024-12-24,1,short,10-short
342,10,라면,2024-12-24,1,short,10-short
344,10,사용,2024-12-24,1,short,10-short
345,10,편리 이용,2024-12-24,2,middle,10-middle
346,10,눈 날 장 물건 포장,2024-12-24,5,long,10-long
347,10,날씨 집 편리 수,2024-12-24,4,middle,10-middle
348,10,신라면 구매,2024-12-23,2,middle,10-middle
349,10,구매 감사,2024-12-23,2,middle,10-middle
350,10,감사,2024-12-23,1,short,10-short
351,10,신라면,2024-12-23,1,short,10-short
352,10,만족,2024-12-23,1,short,10-short
354,10,기본 라면 라면 중 듯,2024-12-22,5,long,10-long
355,10,맛,2024-12-22,1,short,10-short
358,10,애용 감사,2024-12-22,2,middle,10-middle
359,10,신라면 지 년 만 주문,2024-12-21,5,long,10-long
360,10,면발,2024-12-21,1,short,10-short
361,10,집 신라면 맛 말,2024-12-21,4,middle,10-middle
363,10,라면,2024-12-21,1,short,10-short
364,10,주문,2024-12-21,1,short,10-short
365,10,라면 구비,2024-12-21,2,middle,10-middle
366,10,가족 신라면 구매,2024-12-21,3,middle,10-middle
367,10,거,2024-12-20,1,short,10-short
368,10,비상 식량,2024-12-20,2,middle,10-middle
369,10,할인,2024-12-20,1,short,10-short
373,10,구매 제품,2024-12-20,2,middle,10-middle
374,10,구매,2024-12-20,1,short,10-short
376,10,결국 신라면,2024-12-20,2,middle,10-middle
377,10,안성탕면 신라면,2024-12-20,2,middle,10-middle
378,10,라면 당근 신라면,2024-12-20,3,middle,10-middle
379,10,구매,2024-12-20,1,short,10-short
380,10,상품 정확 포장 만족,2024-12-20,4,middle,10-middle
381,10,라면 신라면 집 맛,2024-12-19,4,middle,10-middle
383,10,추가 할인 구입,2024-12-19,3,middle,10-middle
384,10,구매,2024-12-19,1,short,10-short
386,10,신라면,2024-12-19,1,short,10-short
387,10,만족,2024-12-19,1,short,10-short
388,10,시간 만족,2024-12-19,2,middle,10-middle
389,10,애용,2024-12-19,1,short,10-short
390,10,라면 라면,2024-12-19,2,middle,10-middle
391,10,라면 신라면,2024-12-18,2,middle,10-middle
392,10,구매 상품,2024-12-18,2,middle,10-middle
393,10,가격,2024-12-18,1,short,10-short
394,10,유통 기간,2024-12-18,2,middle,10-middle
395,10,맛,2024-12-18,1,short,10-short
396,10,다다익선 거 구매,2024-12-18,3,middle,10-middle
397,10,아이,2024-12-18,1,short,10-short
399,10,구매,2024-12-18,1,short,10-short
400,10,가족,2024-12-17,1,short,10-short
401,10,가족,2024-12-17,1,short,10-short
402,10,상태,2024-12-17,1,short,10-short
403,10,깔끔,2024-12-17,1,short,10-short
404,10,시 위 것,2024-12-17,3,middle,10-middle
405,10,신라면,2024-12-17,1,short,10-short
406,10,새벽 가격,2024-12-17,2,middle,10-middle
407,10,농심 신라면,2024-12-17,2,middle,10-middle
408,10,시간 수 모두 아 맛,2024-12-16,5,long,10-long
410,10,만족 추천 주문 구매,2024-12-16,4,middle,10-middle
411,10,이것저것 신라면 구입 편,2024-12-16,4,middle,10-middle
412,10,농심 신라면 애용 라면,2024-12-16,4,middle,10-middle
413,10,아이 신라면,2024-12-16,2,middle,10-middle
414,10,라면 신라면,2024-12-16,2,middle,10-middle
415,10,이마트 몰 집 앞 촣,2024-12-16,5,long,10-long
416,10,배소 수고,2024-12-16,2,middle,10-middle
417,10,신라면,2024-12-16,1,short,10-short
418,10,신라 가격 구매,2024-12-15,3,middle,10-middle
419,10,신라면 애,2024-12-15,2,middle,10-middle
420,10,콩나물 김치 넣엉 구비,2024-12-15,4,middle,10-middle
421,10,구매 상품 집 앞 감사,2024-12-15,5,long,10-long
422,10,주문,2024-12-15,1,short,10-short
423,10,아이 라면,2024-12-15,2,middle,10-middle
425,10,신라면,2024-12-14,1,short,10-short
426,10,우리나라 국민 라면 구매,2024-12-14,4,middle,10-middle
427,10,집 근처 마트,2024-12-14,3,middle,10-middle
428,10,가족 구매,2024-12-14,2,middle,10-middle
431,10,집 구비 식재료,2024-12-14,3,middle,10-middle
432,10,신라면 추천,2024-12-14,2,middle,10-middle
433,10,신라면 말 것,2024-12-14,3,middle,10-middle
434,10,만족,2024-12-14,1,short,10-short
435,10,라면 신라면,2024-12-14,2,middle,10-middle
436,10,신라면 거 말,2024-12-14,3,middle,10-middle
437,10,신라면 말 모해,2024-12-14,3,middle,10-middle
439,10,집 라면 아이 라면,2024-12-14,4,middle,10-middle
440,10,다양 라면 결국 신라면,2024-12-13,4,middle,10-middle
442,10,가격 장바구니,2024-12-13,2,middle,10-middle
443,10,신라면 말,2024-12-13,2,middle,10-middle
446,10,농심 신라면,2024-12-13,2,middle,10-middle
447,10,맛 연,2024-12-13,2,middle,10-middle
449,10,맛,2024-12-13,1,short,10-short
451,10,짭,2024-12-13,1,short,10-short
452,10,라면 신라면,2024-12-12,2,middle,10-middle
453,10,신라면 아들 주말,2024-12-12,3,middle,10-middle
454,10,라면 신라면 국 룰,2024-12-12,4,middle,10-middle
455,10,구매 제품,2024-12-12,2,middle,10-middle
456,10,상태,2024-12-12,1,short,10-short
457,10,집 앞,2024-12-12,2,middle,10-middle
459,10,집 앞,2024-12-12,2,middle,10-middle
460,10,기본 터,2024-12-12,2,middle,10-middle
461,10,맛 제품,2024-12-12,2,middle,10-middle
462,10,국민 라면 싯 어용,2024-12-12,4,middle,10-middle
464,10,신라면 필수품,2024-12-11,2,middle,10-middle
466,10,겨울 라면,2024-12-11,2,middle,10-middle
467,10,새벽 처음 데 편리,2024-12-11,4,middle,10-middle
468,10,한국인 매운맛,2024-12-11,2,middle,10-middle
469,10,신라면,2024-12-11,1,short,10-short
470,10,구매 품목,2024-12-10,2,middle,10-middle
471,10,아이 애용,2024-12-10,2,middle,10-middle
472,10,자주 구매 거,2024-12-10,3,middle,10-middle
473,10,칼끔 포장 안전 도착,2024-12-10,4,middle,10-middle
475,10,라면 중 신라면,2024-12-10,3,middle,10-middle
477,10,라면 거,2024-12-10,2,middle,10-middle
478,10,라면 신라면 맛,2024-12-10,3,middle,10-middle
479,10,가격,2024-12-09,1,short,10-short
481,10,가성비,2024-12-09,1,short,10-short
483,10,남편 신라 노래,2024-12-09,3,middle,10-middle
484,10,제품 구매,2024-12-09,2,middle,10-middle
486,10,신라면,2024-12-09,1,short,10-short
487,10,신라면,2024-12-09,1,short,10-short
488,10,퀄리티 굿 굿 굿,2024-12-09,4,middle,10-middle
489,10,신랑 감사,2024-12-09,2,middle,10-middle
490,10,포장 감사,2024-12-09,2,middle,10-middle
491,10,아버지 신라면,2024-12-09,2,middle,10-middle
492,10,신라면 입,2024-12-09,2,middle,10-middle
493,10,비상 식량,2024-12-09,2,middle,10-middle
494,10,맛 궁 물,2024-12-09,3,middle,10-middle
495,10,주문,2024-12-09,1,short,10-short
496,10,아이 간식,2024-12-08,2,middle,10-middle
497,10,아이 간식,2024-12-08,2,middle,10-middle
498,10,만족 추천 주문,2024-12-08,3,middle,10-middle
499,10,신라면,2024-12-08,1,short,10-short
500,10,신라면,2024-12-08,1,short,10-short
502,10,상태,2024-12-07,1,short,10-short
503,10,행사 구입,2024-12-07,2,middle,10-middle
504,10,신라면,2024-12-07,1,short,10-short
505,10,아이템 쿠폰 때 구매,2024-12-07,4,middle,10-middle
506,10,라면 먹아 수,2024-12-07,3,middle,10-middle
507,10,감사,2024-12-07,1,short,10-short
508,10,주문,2024-12-07,1,short,10-short
509,10,물건 이상 도착,2024-12-07,3,middle,10-middle
510,10,가격,2024-12-07,1,short,10-short
511,10,구입,2024-12-07,1,short,10-short
512,10,구매 최고,2024-12-07,2,middle,10-middle
513,10,매운맛 신라면,2024-12-06,2,middle,10-middle
514,10,신라면 추천,2024-12-06,2,middle,10-middle
515,10,감사,2024-12-06,1,short,10-short
518,10,맛 구매 청양,2024-12-06,3,middle,10-middle
519,10,세일 구매 구매,2024-12-05,3,middle,10-middle
520,10,정확 시간,2024-12-05,2,middle,10-middle
521,10,제품 만족,2024-12-05,2,middle,10-middle
523,10,신라면 기본,2024-12-05,2,middle,10-middle
524,10,집 최애 남편,2024-12-05,3,middle,10-middle
525,10,오랜만 주문,2024-12-05,2,middle,10-middle
526,10,제품 구매,2024-12-05,2,middle,10-middle
527,10,거 결국 신라면,2024-12-04,3,middle,10-middle
530,10,아빠 신라면,2024-12-04,2,middle,10-middle
531,10,아빠 신라면 구매,2024-12-04,3,middle,10-middle
532,10,국민 라면,2024-12-04,2,middle,10-middle
533,10,대표 맛 이상 말,2024-12-04,4,middle,10-middle
534,10,구매,2024-12-04,1,short,10-short
535,10,구매 제품,2024-12-03,2,middle,10-middle
536,10,신라면 진리,2024-12-03,2,middle,10-middle
537,10,제품 굿,2024-12-03,2,middle,10-middle
538,10,구매 라면,2024-12-03,2,middle,10-middle
539,10,것,2024-12-03,1,short,10-short
540,10,신라 라면 맛 라면,2024-12-03,4,middle,10-middle
541,10,애용 감사 애용,2024-12-03,3,middle,10-middle
542,10,맛 구매 안전 감사,2024-12-02,4,middle,10-middle
543,10,신라면 거 돌아옮,2024-12-02,3,middle,10-middle
544,10,파손 감사,2024-12-02,2,middle,10-middle
545,10,감사 이용 감사,2024-12-02,3,middle,10-middle
546,10,라면 신라면,2024-12-02,2,middle,10-middle
547,10,일반 가게,2024-12-02,2,middle,10-middle
548,10,번창,2024-12-02,1,short,10-short
549,10,상태 안전,2024-12-02,2,middle,10-middle
550,10,안전,2024-12-02,1,short,10-short
551,10,번 신라면,2024-12-01,2,middle,10-middle
552,10,구입,2024-12-01,1,short,10-short
553,10,만족 만족,2024-12-01,2,middle,10-middle
554,10,라면 신라면,2024-12-01,2,middle,10-middle
555,10,신라면 매운맛,2024-12-01,2,middle,10-middle
556,10,만족,2024-12-01,1,short,10-short
559,10,구매,2024-12-01,1,short,10-short
560,10,맛 국민,2024-12-01,2,middle,10-middle
562,10,신라면,2024-12-01,1,short,10-short
563,10,구입,2024-11-30,1,short,10-short
565,10,국민 라면 라면 중 가족,2024-11-30,5,long,10-long
567,10,신라면,2024-11-30,1,short,10-short
568,10,맛 연,2024-11-30,2,middle,10-middle
569,10,날 덕분 만족,2024-11-30,3,middle,10-middle
570,10,신라면,2024-11-30,1,short,10-short
572,10,구매,2024-11-29,1,short,10-short
573,10,거 신라면,2024-11-29,2,middle,10-middle
574,10,세일 감사,2024-11-29,2,middle,10-middle
575,10,전 구매,2024-11-29,2,middle,10-middle
576,10,구입 제품,2024-11-29,2,middle,10-middle
577,10,라면 신라면,2024-11-29,2,middle,10-middle
578,10,감사,2024-11-29,1,short,10-short
580,10,제품,2024-11-28,1,short,10-short
582,10,오랜만,2024-11-28,1,short,10-short
583,10,라면 손 신라면,2024-11-27,3,middle,10-middle
584,10,라면 신라면,2024-11-27,2,middle,10-middle
586,10,아 맛 맛 맛,2024-11-27,4,middle,10-middle
587,10,파 계란,2024-11-27,2,middle,10-middle
589,10,라면 종류,2024-11-27,2,middle,10-middle
590,10,신라면 서방 최애래면,2024-11-26,3,middle,10-middle
591,10,신라면 신라면 신라면,2024-11-26,3,middle,10-middle
592,10,감사,2024-11-26,1,short,10-short
593,10,구매 추천,2024-11-26,2,middle,10-middle
594,10,구매 추천,2024-11-26,2,middle,10-middle
595,10,맛 라면,2024-11-26,2,middle,10-middle
596,10,어린이 맛,2024-11-26,2,middle,10-middle
597,10,기본 라면 구입,2024-11-26,3,middle,10-middle
599,10,신속 배달 감사,2024-11-25,3,middle,10-middle
600,10,라면,2024-11-25,1,short,10-short
602,10,라면,2024-11-25,1,short,10-short
603,10,비상식량,2024-11-25,1,short,10-short
604,10,세일 다음 구매 계획,2024-11-25,4,middle,10-middle
608,10,최근 라면 신라면 주문,2024-11-24,4,middle,10-middle
611,10,집 소울 푸드 신라면,2024-11-24,4,middle,10-middle
612,10,애용 상품,2024-11-24,2,middle,10-middle
613,10,신라면 클래식,2024-11-23,2,middle,10-middle
614,10,신라면 스프,2024-11-23,2,middle,10-middle
615,10,라면 신라면 국물 면발,2024-11-23,4,middle,10-middle
616,10,정확,2024-11-23,1,short,10-short
617,10,구매,2024-11-23,1,short,10-short
619,10,신라면,2024-11-23,1,short,10-short
620,10,아들 해사 사요 안성,2024-11-23,4,middle,10-middle
621,10,행사,2024-11-23,1,short,10-short
622,10,상품 감사,2024-11-23,2,middle,10-middle
623,10,거 거,2024-11-22,2,middle,10-middle
624,10,주문 제품,2024-11-22,2,middle,10-middle
625,10,주문 제품,2024-11-22,2,middle,10-middle
626,10,구매 맛 다음 구매,2024-11-22,4,middle,10-middle
627,10,라면,2024-11-22,1,short,10-short
629,10,불변 베스트셀러 신라면,2024-11-22,3,middle,10-middle
630,10,아이 라면,2024-11-21,2,middle,10-middle
631,10,구매,2024-11-21,1,short,10-short
632,10,상 신라면,2024-11-21,2,middle,10-middle
633,10,감사 구매 앞 구매 듯,2024-11-21,5,long,10-long
635,10,포장 나름,2024-11-21,2,middle,10-middle
636,10,필수품,2024-11-21,1,short,10-short
638,10,라면 맛 깔끔 것 라면,2024-11-20,5,long,10-long
639,10,가성비 최고 감사,2024-11-20,3,middle,10-middle
640,10,가격 할인,2024-11-20,2,middle,10-middle
641,10,라면 신라면 진리 거,2024-11-20,4,middle,10-middle
642,10,수 맛 구매,2024-11-20,3,middle,10-middle
643,10,감사,2024-11-20,1,short,10-short
644,10,라면 할인,2024-11-20,2,middle,10-middle
645,10,가족,2024-11-19,1,short,10-short
646,10,라면 신라면 서방,2024-11-19,3,middle,10-middle
647,10,라면 맛나,2024-11-19,2,middle,10-middle
648,10,라면 조아요,2024-11-19,2,middle,10-middle
649,10,맛 신라면 구매,2024-11-19,3,middle,10-middle
652,10,물건,2024-11-18,1,short,10-short
654,10,라면 신라면,2024-11-18,2,middle,10-middle
656,10,다다익선,2024-11-18,1,short,10-short
657,10,최애 라면,2024-11-18,2,middle,10-middle
658,10,맛 이용,2024-11-18,2,middle,10-middle
659,10,상태 맛,2024-11-18,2,middle,10-middle
660,10,신라면,2024-11-17,1,short,10-short
661,10,최고 기봉르,2024-11-17,2,middle,10-middle
662,10,콩나물 라면,2024-11-17,2,middle,10-middle
663,10,신라면 말 필오 가격,2024-11-17,4,middle,10-middle
664,10,거 때 최고 굿,2024-11-17,4,middle,10-middle
665,10,안전,2024-11-17,1,short,10-short
666,10,감사 제품 굿 감사 굿,2024-11-17,5,long,10-long
667,10,구입 거 만족,2024-11-16,3,middle,10-middle
668,10,상품 배송잘맏았습니다,2024-11-16,2,middle,10-middle
669,10,구매,2024-11-16,1,short,10-short
673,10,세일 구매,2024-11-16,2,middle,10-middle
674,10,정확 만족,2024-11-16,2,middle,10-middle
675,10,라면 오랜만,2024-11-16,2,middle,10-middle
676,10,구매 만족,2024-11-16,2,middle,10-middle
677,10,신라면,2024-11-16,1,short,10-short
678,10,국민 라면 신라면,2024-11-15,3,middle,10-middle
679,10,거,2024-11-15,1,short,10-short
680,10,구매 의사,2024-11-15,2,middle,10-middle
